X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Latitude,Longitude
987356.960940132,213802.382669891,100,0.0248131090342,3.74700210291E-05,Garment District,100,Manhattan,40.754707,-73.991634
1064866.09485898,210368.403062003,101,0.101709836277,0.000452342528877,Glen Oaks,101,Queens,40.745263,-73.711159
1016968.16504263,195303.546752584,102,0.136900484646,0.000296595466345,Glendale,102,Queens,33.531753,-112.177935
971720.157581,190614.477240478,103,0.0143055167343,6.33056361314E-06,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,37.459336,-87.206541
973399.543837386,193824.400432375,104,0.0212208330928,1.19205339715E-05,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,37.459336,-87.206541
979037.754597413,189984.15820223,105,0.0774253398314,0.000368636392805,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,37.459336,-87.206541
986534.715122776,184600.143733294,106,0.0492110119798,0.000113616826567,Gowanus,106,Brooklyn,33.173737,-90.223419
988875.126508358,207912.937312087,107,0.0380413645908,7.46112192675E-05,Gramercy,107,Manhattan,30.04742,-90.68981
989700.367610256,153905.812287659,108,0.11117141227,0.000352866009465,Gravesend,108,Brooklyn,40.597605,-73.965138
941809.150716938,139267.338614489,109,0.178267819599,0.00116960076185,Great Kills,109,Staten Island,34.817795,-103.354685
949273.181033168,137228.665024625,110,0.103946292913,0.000525745098785,Great Kills Park,110,Staten Island,39.11251,-100.35875
986750.399119213,176859.881946108,111,0.0599308800658,0.000208683276503,Green-Wood Cemetery,111,Brooklyn,38.86436,-94.281453
998531.492283519,204813.312103745,112,0.107267875765,0.000462068671429,Greenpoint,112,Brooklyn,40.480922,-76.551631
985738.766590734,206141.008241895,113,0.032745350566,5.79634566998E-05,Greenwich Village North,113,Manhattan,33.61571,-81.10204
984616.422734736,204729.465978545,114,0.0317270347711,4.70207704945E-05,Greenwich Village South,114,Manhattan,37.329217,-86.364699
958574.657899514,165219.122114266,115,0.116169413964,0.000373168991958,Grymes Hill/Clifton,115,Staten Island,40.877949,-74.141237
998816.051812119,240775.021260065,116,0.0681164844265,0.000260415337217,Hamilton Heights,116,Manhattan,42.822667,-75.553153
1046434.32049352,156515.096099254,117,0.169885857987,0.00090429427072,Hammels/Arverne,117,Queens,40.5923,-73.793273
946177.895346349,152667.398923223,118,0.243966217692,0.00182693922711,Heartland Village/Todt Hill,118,Staten Island,43.52424,-71.70091
1004459.33385859,244129.064392491,119,0.0835070355744,0.000185779447534,Highbridge,119,Bronx,40.668163,-74.889823
1003393.91329929,247507.08095062,120,0.0832612702158,9.31462821313E-05,Highbridge Park,120,Manhattan,39.11251,-100.35875
1039769.75982901,204332.232694185,121,0.0969153373445,0.000384563286473,Hillcrest/Pomonok,121,Queens,41.127873,-74.040974
1050352.62201765,198427.877841272,122,0.0665318439446,0.000226597104976,Hollis,122,Queens,55.540405,-131.105347
